k_anonymity,k_neighbors,cat_gen_method,num_gen_method,scaler_method,distance_mode,num_distance_metric,minkowski_p,cat_distance_metric,num_weight,cat_weight,distance_profile
5,15,probability,weighted_mean,standard,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,interpolation,standard,weighted_sum,euclidean,3,jaccard,1.0,1.0,balanced
5,15,mode,weighted_mean,standard,weighted_sum,euclidean,3,jaccard,1.0,1.0,balanced
5,15,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,jaccard,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,jaccard,1.0,1.0,balanced
5,15,mode,interpolation,standard,weighted_sum,euclidean,3,overlap,1.0,1.0,balanced
5,15,mode,weighted_mean,standard,weighted_sum,euclidean,3,overlap,1.0,1.0,balanced
5,15,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,overlap,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,overlap,1.0,1.0,balanced
5,15,mode,interpolation,standard,weighted_sum,manhattan,3,hamming,1.0,1.0,balanced
5,15,mode,weighted_mean,standard,weighted_sum,manhattan,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,interpolation,standard,weighted_sum,manhattan,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,standard,weighted_sum,manhattan,3,hamming,1.0,1.0,balanced
5,15,mode,interpolation,standard,weighted_sum,minkowski,3,hamming,1.0,1.0,balanced
5,15,mode,weighted_mean,standard,weighted_sum,minkowski,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,interpolation,standard,weighted_sum,minkowski,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,standard,weighted_sum,minkowski,3,hamming,1.0,1.0,balanced
5,15,mode,interpolation,standard,weighted_sum,euclidean,3,hamming,2.0,0.5,num_heavy
5,15,mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,2.0,0.5,num_heavy
5,15,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,hamming,2.0,0.5,num_heavy
5,15,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,2.0,0.5,num_heavy
5,15,mode,interpolation,standard,weighted_sum,euclidean,3,hamming,0.5,2.0,cat_heavy
5,15,mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,0.5,2.0,cat_heavy
5,15,weighted_mode,interpolation,standard,weighted_sum,euclidean,3,hamming,0.5,2.0,cat_heavy
5,15,weighted_mode,weighted_mean,standard,weighted_sum,euclidean,3,hamming,0.5,2.0,cat_heavy
5,15,mode,interpolation,minmax,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,weighted_mean,minmax,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,interpolation,minmax,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,minmax,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,interpolation,robust,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,weighted_mean,robust,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,interpolation,robust,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,robust,weighted_sum,euclidean,3,hamming,1.0,1.0,balanced
3,3,mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,3,mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,3,weighted_mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,3,weighted_mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,3,probability,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,3,probability,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,15,mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,15,mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,15,weighted_mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,15,weighted_mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,15,probability,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
3,15,probability,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,3,mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,3,mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,3,weighted_mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,3,weighted_mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,3,probability,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,3,probability,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,15,mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,15,weighted_mode,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,15,probability,interpolation,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
5,15,probability,weighted_mean,minmax,gower,euclidean,3,hamming,1.0,1.0,balanced
