folder,name,k_anonymity,k_neighbors,cat_gen_method,num_gen_method,scaler_method,num_weight,cat_weight,distance_profile,distance_mode,num_distance_metric,cat_distance_metric,minkowski_p,random_state,runtime_sec,peak_memory_mb,n_suppressed,tvd_pass_rate,ks_pass_rate,mean_tvd,mean_ks,mean_pair_drift,exact_match_rate,mean_psi,overall_pass,relationship_score,ks_quality,quality_score,composite_score,rank
001_k3_kn3_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,3,3,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,65.339,1856.63,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.722,11
006_k3_kn3_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=3 kn=3 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,3,3,probability,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,67.97,8.59,7180,0.5,1.0,0.0907,0.016,0.0393,0.0,0.0054,False,0.607,0.84,0.734,0.7215,12
025_k5_kn15_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-jaccard_w-balanced,k=5 kn=15 cat=mode num=interpolation scale=standard weighted_sum/euclidean/jaccard/balanced,5,15,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,jaccard,3,42,109.111,426.64,9511,0.3333,1.0,0.1939,0.0425,0.0858,0.0,0.0472,False,0.142,0.575,0.5489,0.5289,13
019_k5_kn15_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,5,15,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,83.645,10.17,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5164,14
016_k5_kn3_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,5,3,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,84.183,10.02,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5163,15
014_k5_kn3_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,5,3,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,89.169,10.05,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5154,16
017_k5_kn3_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,5,3,probability,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,90.254,10.2,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5152,17
015_k5_kn3_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,5,3,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,90.745,10.1,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5151,18
018_k5_kn3_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,5,3,probability,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,90.955,10.25,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.515,19
020_k5_kn15_cat-mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,5,15,mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,91.498,10.35,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5149,20
021_k5_kn15_cat-weighted_mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=weighted_mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,5,15,weighted_mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,91.582,10.36,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5149,21
024_k5_kn15_cat-probability_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=probability num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,5,15,probability,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,92.433,10.17,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5148,22
022_k5_kn15_cat-weighted_mode_num-weighted_mean_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=weighted_mode num=weighted_mean scale=standard weighted_sum/euclidean/hamming/balanced,5,15,weighted_mode,weighted_mean,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,94.633,10.29,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5144,23
023_k5_kn15_cat-probability_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=15 cat=probability num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,5,15,probability,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,99.249,10.3,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5135,24
013_k5_kn3_cat-mode_num-interpolation_scale-standard_weighted_sum-euclidean-cat-hamming_w-balanced,k=5 kn=3 cat=mode num=interpolation scale=standard weighted_sum/euclidean/hamming/balanced,5,3,mode,interpolation,standard,1.0,1.0,balanced,weighted_sum,euclidean,hamming,3,42,104.675,426.74,9511,0.3333,1.0,0.1841,0.0345,0.1065,0.0,0.0283,False,0.0,0.655,0.5317,0.5125,25
