data_source,source_row_id,customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
actual,22,15597945,636.0,Spain,Female,32.0,8.0,0.0,2.0,1.0,0.0,138555.46,0
actual,23,15699309,510.0,Spain,Female,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,1
actual,24,15725737,669.0,France,Male,46.0,3.0,0.0,2.0,0.0,1.0,8487.75,0
actual,25,15625047,846.0,France,Female,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,0
actual,26,15738191,577.0,France,Male,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,0
actual,27,15736816,756.0,Germany,Male,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,0
actual,28,15700772,571.0,France,Male,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0
actual,29,15728693,574.0,Germany,Female,43.0,3.0,141349.43,1.0,1.0,1.0,100187.43,0
actual,30,15656300,411.0,France,Male,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0
actual,31,15589475,591.0,Spain,Female,39.0,3.0,0.0,3.0,1.0,0.0,140469.38,1
actual,32,15706552,533.0,France,Male,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0
actual,33,15750181,553.0,Germany,Male,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0
actual,34,15659428,520.0,Spain,Female,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,0
actual,35,15732963,722.0,Spain,Female,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,0
actual,36,15794171,475.0,France,Female,45.0,0.0,134264.04,1.0,1.0,0.0,27822.99,1
actual,37,15788448,490.0,Spain,Male,31.0,3.0,145260.23,1.0,0.0,1.0,114066.77,0
actual,38,15729599,804.0,Spain,Male,33.0,7.0,76548.6,1.0,0.0,1.0,98453.45,0
actual,39,15717426,850.0,France,Male,36.0,7.0,0.0,1.0,1.0,1.0,40812.9,0
actual,40,15585768,582.0,Germany,Male,41.0,6.0,70349.48,2.0,0.0,1.0,178074.04,0
actual,41,15619360,472.0,Spain,Male,40.0,4.0,0.0,1.0,1.0,0.0,70154.22,0
actual,42,15738148,465.0,France,Female,51.0,8.0,122522.32,1.0,0.0,0.0,181297.65,1
actual,43,15687946,556.0,France,Female,61.0,2.0,117419.35,1.0,1.0,1.0,94153.83,0
actual,44,15755196,834.0,France,Female,49.0,2.0,131394.56,1.0,0.0,0.0,194365.76,1
actual,45,15684171,660.0,Spain,Female,61.0,5.0,155931.11,1.0,1.0,1.0,158338.39,0
actual,46,15754849,776.0,Germany,Female,32.0,4.0,109421.13,2.0,1.0,1.0,126517.46,0
actual,47,15602280,829.0,Germany,Female,27.0,9.0,112045.67,1.0,1.0,1.0,119708.21,1
actual,48,15771573,637.0,Germany,Female,39.0,9.0,137843.8,1.0,1.0,1.0,117622.8,1
actual,49,15766205,550.0,Germany,Male,38.0,2.0,103391.38,1.0,0.0,1.0,90878.13,0
actual,50,15771873,776.0,Germany,Female,37.0,2.0,103769.22,2.0,1.0,0.0,194099.12,0
actual,51,15616550,698.0,Germany,Male,44.0,10.0,116363.37,2.0,1.0,0.0,198059.16,0
actual,52,15768193,585.0,Germany,Male,36.0,5.0,146050.97,2.0,0.0,0.0,86424.57,0
actual,53,15683553,788.0,France,Female,33.0,5.0,0.0,2.0,0.0,0.0,116978.19,0
actual,54,15702298,655.0,Germany,Male,41.0,8.0,125561.97,1.0,0.0,0.0,164040.94,1
actual,55,15569590,601.0,Germany,Male,42.0,1.0,98495.72,1.0,1.0,0.0,40014.76,1
actual,56,15760861,619.0,France,Male,43.0,1.0,125211.92,1.0,1.0,1.0,113410.49,0
actual,57,15630053,656.0,France,Male,45.0,5.0,127864.4,1.0,1.0,0.0,87107.57,0
actual,58,15647091,725.0,Germany,Male,19.0,0.0,75888.2,1.0,0.0,0.0,45613.75,0
actual,59,15623944,511.0,Spain,Female,66.0,4.0,0.0,1.0,1.0,0.0,1643.11,1
actual,60,15804771,614.0,France,Male,51.0,4.0,40685.92,1.0,1.0,1.0,46775.28,0
actual,61,15651280,742.0,Germany,Male,35.0,5.0,136857.0,1.0,0.0,0.0,84509.57,0
actual,62,15773469,687.0,Germany,Female,27.0,9.0,152328.88,2.0,0.0,0.0,126494.82,0
actual,63,15702014,555.0,Spain,Male,33.0,1.0,56084.69,2.0,0.0,0.0,178798.13,0
actual,64,15751208,684.0,Spain,Male,56.0,8.0,78707.16,1.0,1.0,1.0,99398.36,0
actual,65,15592461,603.0,Germany,Male,26.0,4.0,109166.37,1.0,1.0,1.0,92840.67,0
actual,66,15789484,751.0,Germany,Female,36.0,6.0,169831.46,2.0,1.0,1.0,27758.36,0
actual,67,15696061,581.0,Germany,Female,34.0,1.0,101633.04,1.0,1.0,0.0,110431.51,0
actual,68,15641582,735.0,Germany,Male,43.0,10.0,123180.01,2.0,1.0,1.0,196673.28,0
actual,69,15638424,661.0,Germany,Female,35.0,5.0,150725.53,2.0,0.0,1.0,113656.85,0
actual,70,15755648,675.0,France,Female,21.0,8.0,98373.26,1.0,1.0,0.0,18203.0,0
actual,71,15703793,738.0,Germany,Male,58.0,2.0,133745.44,4.0,1.0,0.0,28373.86,1
actual,72,15620344,813.0,France,Male,29.0,6.0,0.0,1.0,1.0,0.0,33953.87,0
actual,73,15812518,657.0,Spain,Female,37.0,0.0,163607.18,1.0,0.0,1.0,44203.55,0
actual,74,15779052,604.0,Germany,Female,25.0,5.0,157780.84,2.0,1.0,1.0,58426.81,0
actual,75,15770811,519.0,France,Male,36.0,9.0,0.0,2.0,0.0,1.0,145562.4,0
actual,76,15780961,735.0,France,Female,21.0,1.0,178718.19,2.0,1.0,0.0,22388.0,0
actual,77,15614049,664.0,France,Male,55.0,8.0,0.0,2.0,1.0,1.0,139161.64,0
actual,78,15662085,678.0,France,Female,32.0,9.0,0.0,1.0,1.0,1.0,148210.64,0
actual,79,15575185,757.0,Spain,Male,33.0,5.0,77253.22,1.0,0.0,1.0,194239.63,0
actual,80,15803136,416.0,Germany,Female,41.0,10.0,122189.66,2.0,1.0,0.0,98301.61,0
actual,81,15706021,665.0,France,Female,34.0,1.0,96645.54,2.0,0.0,0.0,171413.66,0
actual,82,15663706,777.0,France,Female,32.0,2.0,0.0,1.0,1.0,0.0,136458.19,1
actual,83,15641732,543.0,France,Female,36.0,3.0,0.0,2.0,0.0,0.0,26019.59,0
actual,84,15701164,506.0,France,Female,34.0,4.0,90307.62,1.0,1.0,1.0,159235.29,0
actual,85,15738751,493.0,France,Female,46.0,4.0,0.0,2.0,1.0,0.0,1907.66,0
actual,86,15805254,652.0,Spain,Female,75.0,10.0,0.0,2.0,1.0,1.0,114675.75,0
actual,87,15762418,750.0,Spain,Male,22.0,3.0,121681.82,1.0,1.0,0.0,128643.35,1
actual,88,15625759,729.0,France,Male,30.0,9.0,0.0,2.0,1.0,0.0,151869.35,0
actual,89,15622897,646.0,France,Female,46.0,4.0,0.0,3.0,1.0,0.0,93251.42,1
actual,90,15767954,635.0,Germany,Female,28.0,3.0,81623.67,2.0,1.0,1.0,156791.36,0
actual,91,15757535,647.0,Spain,Female,44.0,5.0,0.0,3.0,1.0,1.0,174205.22,1
actual,92,15731511,808.0,France,Male,45.0,7.0,118626.55,2.0,1.0,0.0,147132.46,0
actual,93,15809248,524.0,France,Female,36.0,10.0,0.0,2.0,1.0,0.0,109614.57,0
actual,94,15640635,769.0,France,Male,29.0,8.0,0.0,2.0,1.0,1.0,172290.61,0
actual,95,15676966,730.0,Spain,Male,42.0,4.0,0.0,2.0,0.0,1.0,85982.47,0
actual,96,15699461,515.0,Spain,Male,35.0,10.0,176273.95,1.0,0.0,1.0,121277.78,0
actual,97,15738721,773.0,Spain,Male,41.0,9.0,102827.44,1.0,0.0,1.0,64595.25,0
actual,98,15693683,814.0,Germany,Male,29.0,8.0,97086.4,2.0,1.0,1.0,197276.13,0
actual,99,15604348,710.0,Spain,Male,22.0,8.0,0.0,2.0,0.0,0.0,99645.04,0
actual,100,15633059,413.0,France,Male,34.0,9.0,0.0,2.0,0.0,0.0,6534.18,0
actual,101,15808582,665.0,France,Female,40.0,6.0,0.0,1.0,1.0,1.0,161848.03,0
actual,102,15743192,623.0,France,Female,44.0,6.0,0.0,2.0,0.0,0.0,167162.43,0
actual,103,15580146,738.0,France,Male,31.0,9.0,82674.15,1.0,1.0,0.0,41970.72,0
actual,104,15776605,528.0,Spain,Male,36.0,7.0,0.0,2.0,1.0,0.0,60536.56,0
actual,105,15804919,670.0,Spain,Female,65.0,1.0,0.0,1.0,1.0,1.0,177655.68,1
actual,106,15613854,622.0,Spain,Female,46.0,4.0,107073.27,2.0,1.0,1.0,30984.59,1
actual,107,15599195,582.0,Germany,Male,32.0,1.0,88938.62,1.0,1.0,1.0,10054.53,0
actual,108,15812878,785.0,Germany,Female,36.0,2.0,99806.85,1.0,0.0,1.0,36976.52,0
actual,109,15602312,605.0,Spain,Male,33.0,5.0,150092.8,1.0,0.0,0.0,71862.79,0
actual,110,15744689,479.0,Germany,Male,35.0,9.0,92833.89,1.0,1.0,0.0,99449.86,1
actual,111,15803526,685.0,Germany,Male,30.0,3.0,90536.81,1.0,0.0,1.0,63082.88,0
actual,112,15665790,538.0,Germany,Male,39.0,7.0,108055.1,2.0,1.0,0.0,27231.26,0
actual,113,15715951,562.0,France,Male,42.0,2.0,100238.35,1.0,0.0,0.0,86797.41,0
actual,114,15591100,675.0,Spain,Male,36.0,9.0,106190.55,1.0,0.0,1.0,22994.32,0
actual,115,15609618,721.0,Germany,Male,28.0,9.0,154475.54,2.0,0.0,1.0,101300.94,1
actual,116,15675522,628.0,Germany,Female,30.0,9.0,132351.29,2.0,1.0,1.0,74169.13,0
actual,117,15705512,668.0,Germany,Female,37.0,6.0,167864.4,1.0,1.0,0.0,115638.29,0
actual,118,15698028,506.0,France,Female,41.0,1.0,0.0,2.0,1.0,0.0,31766.3,0
actual,119,15661670,524.0,Germany,Female,31.0,8.0,107818.63,1.0,1.0,0.0,199725.39,1
actual,120,15600781,699.0,Germany,Male,34.0,4.0,185173.81,2.0,1.0,0.0,120834.48,0
actual,121,15682472,828.0,France,Male,34.0,8.0,129433.34,2.0,0.0,0.0,38131.77,0
actual,122,15580203,674.0,Spain,Male,39.0,6.0,120193.42,1.0,0.0,0.0,100130.95,0
actual,123,15690673,656.0,France,Female,39.0,6.0,0.0,2.0,1.0,0.0,141069.88,0
actual,124,15760085,684.0,Germany,Female,48.0,10.0,126384.42,1.0,1.0,1.0,198129.36,0
actual,125,15779659,625.0,France,Female,28.0,3.0,0.0,1.0,0.0,0.0,183646.41,0
actual,126,15627360,432.0,France,Male,42.0,9.0,152603.45,1.0,1.0,0.0,110265.24,1
actual,127,15671137,549.0,France,Female,52.0,1.0,0.0,1.0,0.0,1.0,8636.05,1
actual,128,15782688,625.0,Germany,Male,56.0,0.0,148507.24,1.0,1.0,0.0,46824.08,1
actual,129,15575492,828.0,France,Female,41.0,7.0,0.0,2.0,1.0,0.0,171378.77,0
actual,130,15591607,770.0,France,Male,24.0,9.0,101827.07,1.0,1.0,0.0,167256.35,0
actual,131,15740404,758.0,France,Female,34.0,3.0,0.0,2.0,1.0,1.0,124226.16,0
actual,132,15718369,795.0,Germany,Female,33.0,9.0,130862.43,1.0,1.0,1.0,114935.21,0
actual,133,15677871,687.0,France,Male,38.0,9.0,122570.87,1.0,1.0,1.0,35608.88,0
actual,134,15642004,686.0,France,Male,25.0,1.0,0.0,2.0,0.0,1.0,16459.37,0
actual,135,15712543,789.0,Germany,Male,39.0,7.0,124828.46,2.0,1.0,1.0,124411.08,0
actual,136,15584518,589.0,Germany,Female,50.0,5.0,144895.05,2.0,1.0,1.0,34941.23,0
actual,137,15802381,461.0,Germany,Female,34.0,5.0,63663.93,1.0,0.0,1.0,167784.28,0
actual,138,15610156,637.0,France,Male,40.0,2.0,133463.1,1.0,0.0,1.0,93165.34,0
actual,139,15594408,584.0,Spain,Female,48.0,2.0,213146.2,1.0,1.0,0.0,75161.25,1
actual,140,15640905,579.0,Spain,Female,35.0,1.0,129490.36,2.0,0.0,1.0,8590.83,1
actual,141,15698932,756.0,Germany,Male,44.0,10.0,137452.09,1.0,1.0,0.0,189543.9,0
actual,142,15724944,663.0,France,Male,34.0,7.0,0.0,2.0,1.0,1.0,180427.24,0
actual,143,15628145,682.0,France,Female,43.0,5.0,125851.93,1.0,1.0,1.0,193318.33,0
actual,144,15713483,793.0,Spain,Male,52.0,2.0,0.0,1.0,1.0,0.0,159123.82,1
actual,145,15612350,691.0,France,Female,31.0,5.0,40915.55,1.0,1.0,0.0,126213.84,1
actual,146,15800703,485.0,Spain,Female,21.0,5.0,113157.22,1.0,1.0,1.0,54141.5,0
actual,147,15705707,635.0,Spain,Female,29.0,8.0,138296.94,2.0,1.0,0.0,141075.51,0
actual,148,15754105,650.0,France,Male,37.0,5.0,106967.18,1.0,0.0,0.0,24495.03,0
actual,149,15703264,735.0,France,Male,44.0,9.0,120681.63,1.0,1.0,0.0,74836.34,0
actual,150,15794413,416.0,France,Male,32.0,0.0,0.0,2.0,0.0,1.0,878.87,0
actual,151,15650237,754.0,Spain,Female,32.0,7.0,0.0,2.0,1.0,0.0,89520.75,0
actual,152,15759618,535.0,France,Female,48.0,9.0,0.0,1.0,1.0,0.0,149892.79,1
actual,153,15811589,716.0,Spain,Male,42.0,8.0,0.0,2.0,1.0,0.0,180800.42,0
actual,154,15689044,539.0,France,Male,37.0,2.0,127609.59,1.0,1.0,0.0,98646.22,0
actual,155,15709368,614.0,France,Female,43.0,6.0,0.0,2.0,1.0,1.0,109041.53,0
actual,156,15679145,706.0,Spain,Male,57.0,7.0,0.0,1.0,1.0,0.0,17941.16,1
actual,157,15655007,758.0,France,Female,33.0,7.0,0.0,2.0,0.0,0.0,82996.47,0
actual,158,15623595,586.0,Spain,Female,28.0,2.0,0.0,2.0,1.0,1.0,92067.35,0
actual,159,15589975,646.0,France,Female,73.0,6.0,97259.25,1.0,0.0,1.0,104719.66,0
actual,160,15804017,631.0,Germany,Female,33.0,4.0,123246.7,1.0,0.0,0.0,112687.57,0
actual,161,15692132,717.0,Spain,Female,22.0,6.0,101060.25,1.0,0.0,1.0,84699.56,0
actual,162,15641122,684.0,France,Male,30.0,2.0,0.0,2.0,1.0,0.0,83473.82,0
actual,163,15630910,800.0,France,Female,49.0,7.0,108007.36,1.0,0.0,0.0,47125.11,0
actual,164,15680772,721.0,Spain,Female,36.0,2.0,0.0,2.0,1.0,1.0,106977.8,0
actual,165,15658929,683.0,Spain,Male,29.0,0.0,133702.89,1.0,1.0,0.0,55582.54,1
actual,166,15585388,660.0,Germany,Male,31.0,9.0,125189.75,2.0,1.0,1.0,139874.43,0
actual,167,15724623,704.0,Germany,Female,24.0,7.0,113034.22,1.0,1.0,0.0,162503.48,1
actual,168,15588537,615.0,Spain,Female,41.0,9.0,109013.23,1.0,1.0,0.0,196499.96,0
actual,169,15574692,667.0,Spain,Female,39.0,2.0,0.0,2.0,1.0,0.0,40721.24,1
actual,170,15611325,682.0,Germany,Male,24.0,9.0,57929.81,2.0,0.0,0.0,53134.3,0
actual,171,15587562,484.0,France,Female,29.0,4.0,130114.39,1.0,1.0,0.0,164017.89,0
actual,172,15613172,628.0,Germany,Male,27.0,5.0,95826.49,2.0,1.0,0.0,155996.96,0
actual,173,15651022,480.0,Germany,Male,44.0,10.0,129608.57,1.0,1.0,0.0,5472.7,1
actual,174,15586310,578.0,France,Male,30.0,4.0,169462.09,1.0,1.0,0.0,112187.11,0
actual,175,15625524,512.0,France,Male,40.0,5.0,0.0,2.0,1.0,1.0,146457.83,0
actual,176,15755209,484.0,Spain,Female,35.0,7.0,133868.21,1.0,1.0,1.0,27286.1,0
actual,177,15645248,510.0,France,Female,30.0,0.0,0.0,2.0,1.0,1.0,130553.47,0
actual,178,15790355,606.0,Germany,Male,36.0,5.0,190479.48,2.0,0.0,0.0,179351.89,0
actual,179,15762615,597.0,Spain,Female,40.0,8.0,101993.12,1.0,0.0,1.0,94774.12,0
actual,180,15625426,754.0,Germany,Female,55.0,3.0,161608.81,1.0,1.0,0.0,8080.85,1
actual,181,15716334,850.0,Spain,Female,45.0,2.0,122311.21,1.0,1.0,1.0,19482.5,0
actual,182,15789669,510.0,France,Male,65.0,2.0,0.0,2.0,1.0,1.0,48071.61,0
actual,183,15621075,778.0,Germany,Female,45.0,1.0,162150.42,2.0,1.0,0.0,174531.27,0
actual,184,15810845,636.0,France,Male,42.0,2.0,0.0,2.0,1.0,1.0,55470.78,0
actual,185,15719377,804.0,France,Female,50.0,4.0,0.0,1.0,1.0,1.0,8546.87,1
actual,186,15654506,514.0,France,Male,32.0,8.0,0.0,2.0,1.0,0.0,95857.18,0
actual,187,15771977,730.0,France,Female,39.0,1.0,99010.67,1.0,1.0,0.0,194945.8,0
actual,188,15708710,525.0,Spain,Female,37.0,0.0,0.0,1.0,0.0,1.0,131521.72,0
actual,189,15726676,616.0,Spain,Male,30.0,5.0,0.0,2.0,0.0,1.0,196108.51,0
actual,190,15587421,687.0,Germany,Female,34.0,7.0,111388.18,2.0,1.0,0.0,148564.76,0
actual,191,15726931,715.0,France,Female,41.0,8.0,56214.85,2.0,0.0,0.0,92982.61,1
actual,192,15771086,512.0,France,Female,36.0,3.0,84327.77,2.0,1.0,0.0,17675.36,0
actual,193,15756850,479.0,France,Male,40.0,1.0,0.0,2.0,0.0,0.0,114996.43,0
actual,194,15702741,601.0,France,Male,32.0,8.0,93012.89,1.0,1.0,0.0,86957.42,0
actual,195,15679200,580.0,Spain,Male,29.0,9.0,61710.44,2.0,1.0,0.0,128077.8,0
actual,196,15594815,807.0,France,Male,35.0,3.0,174790.15,1.0,1.0,1.0,600.36,0
actual,197,15635905,616.0,Spain,Female,32.0,6.0,0.0,2.0,1.0,1.0,43001.46,0
actual,198,15777892,721.0,Germany,Male,37.0,3.0,107720.64,1.0,1.0,1.0,158591.12,0
actual,199,15656176,501.0,France,Male,57.0,10.0,0.0,2.0,1.0,1.0,47847.19,0
actual,200,15811127,521.0,France,Male,35.0,6.0,96423.84,1.0,1.0,0.0,10488.44,0
actual,201,15604482,850.0,Spain,Male,30.0,2.0,141040.01,1.0,1.0,1.0,5978.2,0
actual,202,15622911,759.0,France,Male,42.0,4.0,105420.18,1.0,0.0,1.0,121409.06,0
actual,203,15600974,516.0,Spain,Male,50.0,5.0,0.0,1.0,0.0,1.0,146145.93,1
actual,204,15727868,711.0,France,Female,38.0,2.0,129022.06,2.0,1.0,1.0,14374.86,1
actual,205,15627801,512.0,Spain,Male,33.0,3.0,176666.62,1.0,1.0,0.0,94670.77,0
actual,206,15773039,550.0,France,Male,37.0,3.0,0.0,1.0,1.0,1.0,179670.31,0
actual,207,15755262,608.0,Spain,Female,41.0,3.0,89763.84,1.0,0.0,0.0,199304.74,1
actual,208,15679531,618.0,France,Male,34.0,5.0,134954.53,1.0,1.0,1.0,151954.39,0
actual,209,15684181,643.0,France,Male,45.0,5.0,0.0,1.0,1.0,0.0,142513.5,1
actual,210,15612087,671.0,France,Male,45.0,2.0,106376.85,1.0,0.0,1.0,158264.62,0
actual,211,15752047,689.0,Germany,Male,33.0,2.0,161814.64,2.0,1.0,0.0,169381.9,0
actual,212,15624592,603.0,France,Male,31.0,8.0,0.0,2.0,1.0,1.0,169915.02,0
actual,213,15573152,620.0,France,Female,41.0,9.0,0.0,2.0,0.0,0.0,88852.47,0
actual,214,15594917,676.0,France,Female,34.0,1.0,63095.01,1.0,1.0,1.0,40645.81,0
actual,215,15785542,572.0,Germany,Male,26.0,4.0,118287.01,2.0,0.0,0.0,60427.3,0
actual,216,15723488,668.0,Germany,Male,47.0,7.0,106854.21,1.0,0.0,1.0,157959.02,1
actual,217,15680920,695.0,France,Male,46.0,7.0,49512.55,1.0,1.0,0.0,133007.34,0
actual,218,15786308,730.0,Spain,Female,33.0,9.0,0.0,2.0,0.0,0.0,176576.62,0
actual,219,15659366,807.0,France,Male,43.0,1.0,105799.32,2.0,1.0,0.0,34888.04,1
actual,220,15774854,592.0,France,Male,54.0,8.0,0.0,1.0,1.0,1.0,28737.71,1
actual,221,15725311,726.0,France,Female,31.0,9.0,114722.05,2.0,1.0,1.0,98178.57,0
actual,222,15787155,514.0,Spain,Male,30.0,7.0,0.0,1.0,0.0,1.0,125010.24,0
actual,223,15727829,567.0,France,Male,42.0,2.0,0.0,2.0,1.0,1.0,167984.61,0
actual,224,15733247,850.0,France,Male,33.0,10.0,0.0,1.0,1.0,0.0,4861.72,1
actual,225,15568748,671.0,Germany,Male,45.0,6.0,99564.22,1.0,1.0,1.0,108872.45,1
actual,226,15699029,670.0,France,Male,37.0,4.0,170557.91,2.0,1.0,0.0,198252.88,0
actual,227,15774393,694.0,France,Female,30.0,9.0,0.0,2.0,1.0,1.0,26960.31,0
actual,228,15676895,547.0,Germany,Female,39.0,6.0,74596.15,3.0,1.0,1.0,85746.52,1
actual,229,15637753,751.0,Germany,Male,50.0,2.0,96888.39,1.0,1.0,0.0,77206.25,1
actual,230,15605461,594.0,Germany,Female,29.0,3.0,130830.22,1.0,1.0,0.0,61048.53,0
actual,231,15808473,673.0,France,Male,72.0,1.0,0.0,2.0,0.0,1.0,111981.19,0
actual,232,15627000,610.0,France,Male,40.0,0.0,0.0,2.0,1.0,0.0,62232.6,0
actual,233,15787174,512.0,France,Female,37.0,1.0,0.0,2.0,0.0,1.0,156105.03,0
actual,234,15723886,767.0,Germany,Male,20.0,3.0,119714.25,2.0,0.0,1.0,150135.38,0
actual,235,15704769,585.0,France,Female,67.0,5.0,113978.97,2.0,0.0,1.0,93146.11,0
actual,236,15772896,763.0,Germany,Male,42.0,6.0,100160.75,1.0,1.0,0.0,33462.94,1
actual,237,15711540,712.0,France,Female,29.0,2.0,0.0,1.0,1.0,1.0,144375.0,0
actual,238,15764866,539.0,Germany,Female,43.0,3.0,116220.5,3.0,1.0,0.0,55803.96,1
actual,239,15794056,668.0,France,Female,46.0,2.0,0.0,3.0,1.0,0.0,89048.46,1
actual,240,15795149,703.0,France,Male,28.0,2.0,81173.83,2.0,0.0,1.0,162812.16,0
actual,241,15812009,662.0,Spain,Male,38.0,4.0,0.0,2.0,1.0,0.0,136259.65,0
actual,242,15651001,725.0,Germany,Female,39.0,5.0,116803.8,1.0,1.0,0.0,124052.97,0
actual,243,15813844,703.0,France,Male,37.0,8.0,105961.68,2.0,0.0,1.0,74158.8,0
actual,244,15596175,659.0,Germany,Male,67.0,6.0,117411.6,1.0,1.0,1.0,45071.09,1
actual,245,15576269,523.0,Spain,Male,34.0,7.0,0.0,2.0,1.0,0.0,62030.06,0
actual,246,15797219,635.0,France,Female,40.0,10.0,123497.58,1.0,1.0,0.0,131953.23,1
actual,247,15685500,772.0,Germany,Male,26.0,7.0,152400.51,2.0,1.0,0.0,79414.0,0
actual,248,15599792,545.0,France,Female,26.0,1.0,0.0,2.0,1.0,1.0,199638.56,0
actual,249,15657566,634.0,Germany,Male,24.0,8.0,103097.85,1.0,1.0,1.0,157577.29,0
actual,250,15772423,739.0,Germany,Male,54.0,8.0,126418.14,1.0,1.0,0.0,134420.75,1
actual,251,15628112,771.0,Germany,Female,36.0,5.0,77846.9,1.0,0.0,0.0,99805.99,0
actual,252,15753754,587.0,Spain,Female,34.0,1.0,0.0,2.0,1.0,1.0,97932.68,0
actual,253,15793726,681.0,France,Female,79.0,0.0,0.0,2.0,0.0,1.0,170968.99,0
actual,254,15694717,544.0,Germany,Male,37.0,2.0,79731.91,1.0,1.0,1.0,57558.95,0
actual,255,15665834,696.0,Spain,Male,28.0,8.0,0.0,1.0,0.0,0.0,176713.47,0
actual,256,15765297,766.0,Spain,Male,41.0,0.0,0.0,2.0,0.0,1.0,34283.23,0
actual,257,15636684,727.0,France,Male,34.0,10.0,0.0,2.0,1.0,1.0,198637.34,0
actual,258,15592979,671.0,Germany,Female,34.0,6.0,37266.67,2.0,0.0,0.0,156917.12,0
actual,259,15750803,693.0,France,Female,30.0,6.0,127992.25,1.0,1.0,1.0,50457.2,0
actual,260,15607178,850.0,Germany,Male,38.0,3.0,54901.01,1.0,1.0,1.0,140075.55,0
actual,261,15713853,732.0,Germany,Male,42.0,9.0,108748.08,2.0,1.0,1.0,65323.11,0
actual,262,15673481,726.0,Spain,Female,48.0,6.0,99906.19,1.0,1.0,0.0,64323.24,0
actual,263,15686776,557.0,France,Female,32.0,6.0,184686.41,2.0,1.0,0.0,14956.44,0
actual,264,15673693,682.0,France,Female,26.0,0.0,110654.02,1.0,0.0,1.0,111879.21,0
actual,265,15700696,738.0,Spain,Male,31.0,9.0,79019.8,1.0,1.0,1.0,18606.23,0
actual,266,15813163,531.0,Spain,Female,36.0,9.0,99240.51,1.0,1.0,0.0,123137.01,0
actual,267,15653857,498.0,France,Male,34.0,2.0,0.0,2.0,1.0,1.0,148528.24,0
actual,268,15777076,651.0,France,Male,36.0,7.0,0.0,2.0,1.0,0.0,13898.31,0
actual,269,15717398,549.0,Spain,Female,39.0,7.0,0.0,1.0,0.0,0.0,81259.25,1
actual,270,15799217,791.0,Germany,Female,35.0,7.0,52436.2,1.0,1.0,0.0,161051.75,0
actual,271,15787071,650.0,Spain,Male,41.0,9.0,0.0,2.0,0.0,1.0,191599.67,0
actual,272,15619955,733.0,Germany,Male,34.0,3.0,100337.96,3.0,1.0,0.0,48559.19,1
actual,273,15796505,811.0,Germany,Female,34.0,1.0,149297.19,2.0,1.0,1.0,186339.74,0
